VANE_TOTAL_COUNT_FLOAT,ID,VANE_TOTAL_COUNT,VANE_LEAN,T_VANE_REG,T_VANE_MNT,T_HUB_REG,T_HUB_MNT,T_OUTER_REG,T_OUTER_MNT,VANE_LE_RADIUS,AERO_BLOCKAGE,D_OUTER,D_HUB,VANE_CORDA_LENGTH,WL_SHROUD_ENABLED,WL_VANE_SHROUD_ENABLED,WL_VANE_HUB_ENABLED,WL_HUB_ENABLED,NX_FILE,MAX_DEFORMATION,MAX_STRESS,BLM_RAW_DATA,BUCKLING_LOAD_MULTIPLIER,VOLUME,WEIGHT,PDS_A,PDS_B,PDS_C,WSS_A,WSS_B,WSS_C
15.1053,42,15,0.3509,3.8158,2.7895,1.4474,1.3684,1.4737,1.4737,10.7440,109591.3181,1100.0000,420.0000,105.0,1,1,1,1,cii-042,0.0405,19.9165,-130.7378,130.7378,7844268.8564,64.0877,0.6598471,0.7325213,0.5886565,0.3956677,0.8892077,0.6258509
9.8158,43,9,5.2632,3.1579,2.8947,2.1316,2.2105,1.0263,1.1316,17.8316,109591.3181,1100.0000,420.0000,135.0,1,1,1,1,cii-043,0.0676,20.2018,-72.6984,72.6984,6346957.3863,51.8546,0.8963049,0.7986198,0.7381466,0.4531661,0.8720141,0.6163139
16.4474,44,16,13.8596,1.4737,1.8684,1.8684,3.2368,1.1579,2.9474,9.7795,109591.3181,1100.0000,420.0000,100.0,1,1,1,1,cii-044,0.0482,18.7430,140.7751,140.7751,5588557.6801,45.6585,0.6230071,0.8614812,0.8531647,0.4775711,0.9023205,0.6341606
15.3421,45,15,12.8070,1.1579,3.7368,2.2895,2.7368,2.6316,2.3684,10.4770,109591.3181,1100.0000,420.0000,105.0,1,1,1,1,cii-045,0.0306,20.2435,-310.6564,310.6564,6250264.3762,51.0647,0.6488876,0.8970300,0.8465273,0.4803949,0.9080831,0.6420197
9.2632,46,9,17.3684,1.6053,3.3684,2.5000,2.0000,3.7105,2.5526,17.0906,109591.3181,1100.0000,420.0000,135.0,1,1,1,1,cii-046,0.0329,19.2842,-324.0297,324.0297,7286691.6738,59.5323,0.6567214,0.7752029,0.9103808,0.4681331,0.8879352,0.6391656
12.4211,47,12,18.2456,2.6053,2.9737,2.5789,3.2632,3.2368,2.2632,12.7551,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-047,0.0265,13.2151,-294.6096,294.6096,8201973.8108,67.0101,0.6104680,0.8128027,0.8796961,0.4789770,0.9489419,0.7174268
14.0789,48,14,16.1404,1.9737,1.1316,2.8947,2.9474,3.7368,3.4474,11.0579,109591.3181,1100.0000,420.0000,110.0,1,1,1,1,cii-048,0.0257,19.5164,460.9935,460.9935,7650208.5357,62.5022,0.6155542,0.8512645,0.8867439,0.4843250,0.9302181,0.6647720
12.7368,49,12,4.7368,1.2368,1.4211,3.4737,3.0526,3.2105,1.9737,13.3844,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-049,0.0285,17.1551,-221.5827,221.5827,6210674.7597,50.7412,0.8310007,0.8473549,0.7177009,0.4844656,0.9440695,0.6513857
12.0263,50,12,9.1228,1.3947,1.7368,1.8421,3.7105,3.8421,1.5526,13.2604,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-050,0.0288,21.5642,-159.3696,159.3696,6535136.8612,53.3921,0.7511202,0.9526748,0.8136114,0.4695482,0.9251077,0.6633889
13.4474,51,13,5.6140,2.1579,1.7632,2.1579,2.2632,2.7632,1.5000,12.3377,109591.3181,1100.0000,420.0000,115.0,1,1,1,1,cii-051,0.0363,22.8344,-150.6737,150.6737,6559170.9549,53.5884,0.8051578,0.8888767,0.7233119,0.4789775,0.9158038,0.6935586
8.3158,52,8,9.2982,2.9474,2.6842,3.9737,1.3421,1.4211,2.6842,19.8808,109591.3181,1100.0000,420.0000,140.0,1,1,1,1,cii-052,0.0588,23.9590,133.7640,133.7640,6943301.5888,56.7268,0.8178349,0.8750563,0.8103304,0.4531990,0.8714191,0.6295762
11.1579,53,11,18.4211,2.5526,3.0000,2.8684,1.5789,3.9474,1.1053,13.9005,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-053,0.0357,19.7864,-112.9237,112.9237,7971708.3880,65.1289,0.6190568,0.7929377,0.8921296,0.4590367,0.9164386,0.6882471
11.8684,54,11,5.4386,2.1842,2.7632,3.8158,3.1579,4.0000,3.6842,14.5853,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-054,0.0242,19.7948,-765.9725,765.9725,8718525.8110,71.2304,0.8482900,0.8437483,0.7470634,0.4657158,0.9235068,0.6997635
8.7895,55,8,19.1228,3.3684,2.3421,3.3158,3.3684,1.1842,1.7632,19.0338,109591.3181,1100.0000,420.0000,140.0,1,1,1,1,cii-055,0.0678,26.2856,111.9475,111.9475,6798820.0237,55.5464,0.6438822,0.7316322,0.8593767,0.4614230,0.8703412,0.6155072
13.7632,56,13,14.7368,1.3421,3.3158,3.7895,1.5000,3.1316,2.8158,11.9894,109591.3181,1100.0000,420.0000,115.0,1,1,1,1,cii-056,0.0305,18.5168,-448.1080,448.1080,6948126.3920,56.7662,0.6456881,0.8926605,0.9191315,0.4760639,0.9311094,0.6891386
16.8421,57,16,3.8596,1.9474,3.2632,3.1053,3.6579,3.1579,3.6579,10.0499,109591.3181,1100.0000,420.0000,100.0,1,1,1,1,cii-057,0.0235,20.3825,612.1535,612.1535,7946361.6258,64.9218,0.7356485,0.7977859,0.6497548,0.4775118,0.9122894,0.6699581
12.3421,58,12,6.1404,3.0526,2.3684,3.8421,2.1053,3.8158,1.1842,13.3533,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-058,0.0310,20.8400,-123.2006,123.2006,8563071.1645,69.9603,0.8123058,0.8810573,0.7483923,0.4616502,0.9178456,0.6955936
9.4211,59,9,18.5965,2.6842,2.9474,2.6316,2.9211,1.3421,3.8158,16.9721,109591.3181,1100.0000,420.0000,135.0,1,1,1,1,cii-059,0.0553,24.9713,140.8345,140.8345,7504578.2002,61.3124,0.6393829,0.7562541,0.8868982,0.4647182,0.9061838,0.6545007
10.2105,60,10,2.9825,2.8947,1.5526,2.7368,2.8158,1.0789,3.1053,16.0945,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-060,0.0502,16.4351,130.5604,130.5604,6770514.8668,55.3151,0.8209494,0.7643113,0.7058227,0.4690970,0.9203650,0.6418008
15.5789,61,15,10.8772,2.2105,3.1316,4.0000,2.6579,1.9737,3.5000,10.5512,109591.3181,1100.0000,420.0000,105.0,1,1,1,1,cii-061,0.0316,18.1672,277.8936,277.8936,7700896.9039,62.9163,0.6774099,0.9361730,0.8065755,0.4777323,0.9289013,0.6806645
10.9211,62,10,12.1053,3.2368,2.6579,1.5263,3.9211,2.3158,1.0526,15.7580,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-062,0.0401,19.9671,-80.6691,80.6691,7336509.2192,59.9393,0.7276037,0.8879349,0.9130943,0.4552327,0.9017570,0.6538896
10.3684,63,10,11.9298,2.0789,3.7895,3.0263,3.4211,3.4737,1.0263,15.7683,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-063,0.0346,16.8093,-87.4768,87.4768,7510764.5307,61.3629,0.7307401,0.8915099,0.9091083,0.4635825,0.8879712,0.6415595
11.0000,64,11,7.0175,1.0789,3.2895,2.5263,2.1579,3.0263,2.0263,14.5415,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-064,0.0314,14.6871,-216.8866,216.8866,6241709.0236,50.9948,0.8117330,0.8816635,0.7822513,0.4808566,0.9196740,0.6479584
14.7105,65,14,3.3333,1.7895,1.1842,1.6579,2.1842,1.3947,3.3947,11.4922,109591.3181,1100.0000,420.0000,110.0,1,1,1,1,cii-065,0.0396,19.6558,179.9476,179.9476,5991806.6124,48.9531,0.7551852,0.8173884,0.6621620,0.4780368,0.9119821,0.6520211
9.5789,66,9,7.8947,2.1316,3.9211,1.3684,3.1053,1.1316,3.1579,17.7374,109591.3181,1100.0000,420.0000,135.0,1,1,1,1,cii-066,0.0570,21.3948,134.1121,134.1121,6760149.3564,55.2304,0.8304439,0.8618118,0.7979365,0.4627083,0.8591871,0.6266133
